Events
100
Subject,Context,Name,Time (s),Description
Julie,Left,Foot Strike,87.127,The instant the heel strikes the ground
Julie,Left,Foot Off,87.928,The instant the toe leaves the ground
Julie,Left,Foot Strike,88.336,The instant the heel strikes the ground
Julie,Left,Foot Off,89.122,The instant the toe leaves the ground
Julie,Left,Foot Strike,89.526,The instant the heel strikes the ground
Julie,Left,Foot Off,90.345,The instant the toe leaves the ground
Julie,Left,Foot Strike,90.747,The instant the heel strikes the ground
Julie,Left,Foot Off,91.538,The instant the toe leaves the ground
Julie,Left,Foot Strike,91.971,The instant the heel strikes the ground
Julie,Left,Foot Off,92.735,The instant the toe leaves the ground
Julie,Left,Foot Strike,93.161,The instant the heel strikes the ground
Julie,Left,Foot Off,93.929,The instant the toe leaves the ground
Julie,Left,Foot Strike,94.332,The instant the heel strikes the ground
Julie,Left,Foot Off,95.106,The instant the toe leaves the ground
Julie,Left,Foot Strike,95.494,The instant the heel strikes the ground
Julie,Left,Foot Off,96.271,The instant the toe leaves the ground
Julie,Left,Foot Strike,96.678,The instant the heel strikes the ground
Julie,Left,Foot Off,97.469,The instant the toe leaves the ground
Julie,Left,Foot Strike,97.882,The instant the heel strikes the ground
Julie,Left,Foot Off,98.688,The instant the toe leaves the ground
Julie,Left,Foot Strike,99.073,The instant the heel strikes the ground
Julie,Left,Foot Off,99.852,The instant the toe leaves the ground
Julie,Left,Foot Strike,100.259,The instant the heel strikes the ground
Julie,Left,Foot Off,101.038,The instant the toe leaves the ground
Julie,Left,Foot Strike,101.448,The instant the heel strikes the ground
Julie,Left,Foot Off,102.243,The instant the toe leaves the ground
Julie,Left,Foot Strike,102.696,The instant the heel strikes the ground
Julie,Left,Foot Off,103.496,The instant the toe leaves the ground
Julie,Left,Foot Strike,103.903,The instant the heel strikes the ground
Julie,Left,Foot Off,104.693,The instant the toe leaves the ground
Julie,Left,Foot Strike,105.12,The instant the heel strikes the ground
Julie,Left,Foot Off,105.907,The instant the toe leaves the ground
Julie,Left,Foot Strike,106.328,The instant the heel strikes the ground
Julie,Left,Foot Off,107.109,The instant the toe leaves the ground
Julie,Left,Foot Strike,107.536,The instant the heel strikes the ground
Julie,Left,Foot Off,108.349,The instant the toe leaves the ground
Julie,Left,Foot Strike,108.773,The instant the heel strikes the ground
Julie,Left,Foot Off,109.547,The instant the toe leaves the ground
Julie,Left,Foot Strike,109.987,The instant the heel strikes the ground
Julie,Left,Foot Off,110.799,The instant the toe leaves the ground
Julie,Left,Foot Strike,111.256,The instant the heel strikes the ground
Julie,Left,Foot Off,112.089,The instant the toe leaves the ground
Julie,Left,Foot Strike,112.525,The instant the heel strikes the ground
Julie,Left,Foot Off,113.367,The instant the toe leaves the ground
Julie,Left,Foot Strike,113.814,The instant the heel strikes the ground
Julie,Left,Foot Off,114.614,The instant the toe leaves the ground
Julie,Left,Foot Strike,115.033,The instant the heel strikes the ground
Julie,Left,Foot Off,115.835,The instant the toe leaves the ground
Julie,Left,Foot Strike,116.277,The instant the heel strikes the ground
Julie,Left,Foot Off,117.1,The instant the toe leaves the ground
Julie,Left,Foot Strike,117.519,The instant the heel strikes the ground
Julie,Left,Foot Off,118.316,The instant the toe leaves the ground
Julie,Left,Foot Strike,118.74,The instant the heel strikes the ground
Julie,Left,Foot Off,119.555,The instant the toe leaves the ground
Julie,Left,Foot Strike,119.943,The instant the heel strikes the ground
Julie,Left,Foot Off,120.724,The instant the toe leaves the ground
Julie,Left,Foot Strike,121.135,The instant the heel strikes the ground
Julie,Left,Foot Off,121.912,The instant the toe leaves the ground
Julie,Left,Foot Strike,122.355,The instant the heel strikes the ground
Julie,Left,Foot Off,123.167,The instant the toe leaves the ground
Julie,Left,Foot Strike,123.595,The instant the heel strikes the ground
Julie,Left,Foot Off,124.4,The instant the toe leaves the ground
Julie,Left,Foot Strike,124.83,The instant the heel strikes the ground
Julie,Left,Foot Off,125.684,The instant the toe leaves the ground
Julie,Left,Foot Strike,126.082,The instant the heel strikes the ground
Julie,Left,Foot Off,126.907,The instant the toe leaves the ground
Julie,Left,Foot Strike,127.328,The instant the heel strikes the ground
Julie,Left,Foot Off,128.065,The instant the toe leaves the ground
Julie,Left,Foot Strike,128.468,The instant the heel strikes the ground
Julie,Left,Foot Off,129.213,The instant the toe leaves the ground
Julie,Left,Foot Strike,129.635,The instant the heel strikes the ground
Julie,Left,Foot Off,130.357,The instant the toe leaves the ground
Julie,Left,Foot Strike,130.759,The instant the heel strikes the ground
Julie,Left,Foot Off,131.488,The instant the toe leaves the ground
Julie,Left,Foot Strike,131.871,The instant the heel strikes the ground
Julie,Left,Foot Off,132.595,The instant the toe leaves the ground
Julie,Left,Foot Strike,132.98,The instant the heel strikes the ground
Julie,Left,Foot Off,133.716,The instant the toe leaves the ground
Julie,Left,Foot Strike,134.111,The instant the heel strikes the ground
Julie,Left,Foot Off,134.842,The instant the toe leaves the ground
Julie,Left,Foot Strike,135.25,The instant the heel strikes the ground
Julie,Left,Foot Off,135.981,The instant the toe leaves the ground
Julie,Left,Foot Strike,136.392,The instant the heel strikes the ground
Julie,Left,Foot Off,137.122,The instant the toe leaves the ground
Julie,Left,Foot Strike,137.507,The instant the heel strikes the ground
Julie,Left,Foot Off,138.217,The instant the toe leaves the ground
Julie,Left,Foot Strike,138.609,The instant the heel strikes the ground
Julie,Left,Foot Off,139.352,The instant the toe leaves the ground
Julie,Left,Foot Strike,139.738,The instant the heel strikes the ground
Julie,Left,Foot Off,140.454,The instant the toe leaves the ground
Julie,Left,Foot Strike,140.846,The instant the heel strikes the ground
Julie,Left,Foot Off,141.557,The instant the toe leaves the ground
Julie,Left,Foot Strike,141.956,The instant the heel strikes the ground
Julie,Left,Foot Off,142.664,The instant the toe leaves the ground
Julie,Left,Foot Strike,143.033,The instant the heel strikes the ground
Julie,Left,Foot Off,143.768,The instant the toe leaves the ground
Julie,Left,Foot Strike,144.159,The instant the heel strikes the ground
Julie,Left,Foot Off,144.892,The instant the toe leaves the ground
Julie,Left,Foot Strike,145.273,The instant the heel strikes the ground
Julie,Left,Foot Off,145.992,The instant the toe leaves the ground
Julie,Left,Foot Strike,146.38,The instant the heel strikes the ground
Julie,Left,Foot Off,147.12,The instant the toe leaves the ground
Julie,Left,Foot Strike,147.507,The instant the heel strikes the ground
Julie,Left,Foot Off,148.228,The instant the toe leaves the ground
Julie,Left,Foot Strike,148.627,The instant the heel strikes the ground
Julie,Left,Foot Off,149.341,The instant the toe leaves the ground
Julie,Left,Foot Strike,149.732,The instant the heel strikes the ground
Julie,Left,Foot Off,150.477,The instant the toe leaves the ground
Julie,Left,Foot Strike,150.855,The instant the heel strikes the ground
Julie,Left,Foot Off,151.606,The instant the toe leaves the ground
Julie,Left,Foot Strike,151.992,The instant the heel strikes the ground
Julie,Left,Foot Off,152.72,The instant the toe leaves the ground
Julie,Left,Foot Strike,153.107,The instant the heel strikes the ground
Julie,Left,Foot Off,153.829,The instant the toe leaves the ground
Julie,Left,Foot Strike,154.218,The instant the heel strikes the ground
Julie,Left,Foot Off,154.95,The instant the toe leaves the ground
Julie,Left,Foot Strike,155.338,The instant the heel strikes the ground
Julie,Left,Foot Off,156.093,The instant the toe leaves the ground
Julie,Left,Foot Strike,156.523,The instant the heel strikes the ground
Julie,Left,Foot Off,157.319,The instant the toe leaves the ground
Julie,Left,Foot Strike,157.74,The instant the heel strikes the ground
Julie,Left,Foot Off,158.453,The instant the toe leaves the ground
Julie,Left,Foot Strike,158.88,The instant the heel strikes the ground
Julie,Left,Foot Off,159.603,The instant the toe leaves the ground
Julie,Left,Foot Strike,160.031,The instant the heel strikes the ground
Julie,Left,Foot Off,160.754,The instant the toe leaves the ground
Julie,Left,Foot Strike,161.158,The instant the heel strikes the ground
Julie,Left,Foot Off,161.904,The instant the toe leaves the ground
Julie,Left,Foot Strike,162.288,The instant the heel strikes the ground
Julie,Left,Foot Off,163.009,The instant the toe leaves the ground
Julie,Left,Foot Strike,163.39,The instant the heel strikes the ground
Julie,Left,Foot Off,164.144,The instant the toe leaves the ground
Julie,Left,Foot Strike,164.545,The instant the heel strikes the ground
Julie,Left,Foot Off,165.289,The instant the toe leaves the ground
Julie,Left,Foot Strike,165.702,The instant the heel strikes the ground
Julie,Left,Foot Off,166.45,The instant the toe leaves the ground
Julie,Left,Foot Strike,166.876,The instant the heel strikes the ground
Julie,Left,Foot Off,167.611,The instant the toe leaves the ground
Julie,Left,Foot Strike,168.015,The instant the heel strikes the ground
